risk_id,guide_id,risk_category,risk_title,risk_statement,control_id,invariant_id,verification_method,evidence_requirement,owner_class,residual_risk_treatment,severity,open_finding_link
W1-V11-RISK-ES_CG_10-0001,ES-CG-10,cross-guide conflict,Candidate Testing Layer Treatment misuse or overclaim,"A reviewer could overread ES-CG-10-CTRL-0001 as adoption, activation, implementation, runtime evidence, or closure authority.",ES-CG-10-CTRL-0001,ES-CG-10-INV-0001,W1-V11-VER-ES-CG-10-CTRL-0001,Documentary source and package validation evidence now; future implementation and runtime evidence remain unavailable.,Future Code Guide adoption or activation review owner,RETAIN_WITH_CONDITION_AND_STAGE_22_FOUNDER_REVIEW,P2,W1-V11-FIND-0001;W1-V11-FIND-0004
W1-V11-RISK-ES_CG_10-0002,ES-CG-10,exception abuse,Candidate Verification Treatment misuse or overclaim,"A reviewer could overread ES-CG-10-CTRL-0002 as adoption, activation, implementation, runtime evidence, or closure authority.",ES-CG-10-CTRL-0002,ES-CG-10-INV-0002,W1-V11-VER-ES-CG-10-CTRL-0002,Documentary source and package validation evidence now; future implementation and runtime evidence remain unavailable.,Future Code Guide adoption or activation review owner,RETAIN_WITH_CONDITION_AND_STAGE_22_FOUNDER_REVIEW,P2,W1-V11-FIND-0001;W1-V11-FIND-0004
W1-V11-RISK-ES_CG_10-0003,ES-CG-10,waiver misuse,Candidate Assurance Treatment misuse or overclaim,"A reviewer could overread ES-CG-10-CTRL-0003 as adoption, activation, implementation, runtime evidence, or closure authority.",ES-CG-10-CTRL-0003,ES-CG-10-INV-0003,W1-V11-VER-ES-CG-10-CTRL-0003,Documentary source and package validation evidence now; future implementation and runtime evidence remain unavailable.,Future Code Guide adoption or activation review owner,RETAIN_WITH_CONDITION_AND_STAGE_22_FOUNDER_REVIEW,P2,W1-V11-FIND-0001;W1-V11-FIND-0004
W1-V11-RISK-ES_CG_10-0004,ES-CG-10,source-integrity failure,Candidate Positive And Negative Test Treatment misuse or overclaim,"A reviewer could overread ES-CG-10-CTRL-0004 as adoption, activation, implementation, runtime evidence, or closure authority.",ES-CG-10-CTRL-0004,ES-CG-10-INV-0004,W1-V11-VER-ES-CG-10-CTRL-0004,Documentary source and package validation evidence now; future implementation and runtime evidence remain unavailable.,Future Code Guide adoption or activation review owner,RETAIN_WITH_CONDITION_AND_STAGE_22_FOUNDER_REVIEW,P2,W1-V11-FIND-0001;W1-V11-FIND-0004
W1-V11-RISK-ES_CG_10-0005,ES-CG-10,offline and synchronization risk,Candidate CI Interpretation Boundary misuse or overclaim,"A reviewer could overread ES-CG-10-CTRL-0005 as adoption, activation, implementation, runtime evidence, or closure authority.",ES-CG-10-CTRL-0005,ES-CG-10-INV-0005,W1-V11-VER-ES-CG-10-CTRL-0005,Documentary source and package validation evidence now; future implementation and runtime evidence remain unavailable.,Future Code Guide adoption or activation review owner,RETAIN_WITH_CONDITION_AND_STAGE_22_FOUNDER_REVIEW,P2,W1-V11-FIND-0001;W1-V11-FIND-0004
W1-V11-RISK-ES_CG_10-0006,ES-CG-10,data-integrity risk,Candidate False-Pass Prevention misuse or overclaim,"A reviewer could overread ES-CG-10-CTRL-0006 as adoption, activation, implementation, runtime evidence, or closure authority.",ES-CG-10-CTRL-0006,ES-CG-10-INV-0006,W1-V11-VER-ES-CG-10-CTRL-0006,Documentary source and package validation evidence now; future implementation and runtime evidence remain unavailable.,Future Code Guide adoption or activation review owner,RETAIN_WITH_CONDITION_AND_STAGE_22_FOUNDER_REVIEW,P2,W1-V11-FIND-0001;W1-V11-FIND-0004
W1-V11-RISK-ES_CG_13-0001,ES-CG-13,privacy and security risk,Candidate Completion Treatment misuse or overclaim,"A reviewer could overread ES-CG-13-CTRL-0001 as adoption, activation, implementation, runtime evidence, or closure authority.",ES-CG-13-CTRL-0001,ES-CG-13-INV-0001,W1-V11-VER-ES-CG-13-CTRL-0001,Documentary source and package validation evidence now; future implementation and runtime evidence remain unavailable.,Future Code Guide adoption or activation review owner,RETAIN_WITH_CONDITION_AND_STAGE_22_FOUNDER_REVIEW,P2,W1-V11-FIND-0001;W1-V11-FIND-0004
W1-V11-RISK-ES_CG_13-0002,ES-CG-13,equine-health risk,Candidate Evidence Grade Treatment misuse or overclaim,"A reviewer could overread ES-CG-13-CTRL-0002 as adoption, activation, implementation, runtime evidence, or closure authority.",ES-CG-13-CTRL-0002,ES-CG-13-INV-0002,W1-V11-VER-ES-CG-13-CTRL-0002,Documentary source and package validation evidence now; future implementation and runtime evidence remain unavailable.,Future Code Guide adoption or activation review owner,RETAIN_WITH_CONDITION_AND_STAGE_22_FOUNDER_REVIEW,P2,W1-V11-FIND-0001;W1-V11-FIND-0004
W1-V11-RISK-ES_CG_13-0003,ES-CG-13,minor-protection risk,Candidate Traceability Treatment misuse or overclaim,"A reviewer could overread ES-CG-13-CTRL-0003 as adoption, activation, implementation, runtime evidence, or closure authority.",ES-CG-13-CTRL-0003,ES-CG-13-INV-0003,W1-V11-VER-ES-CG-13-CTRL-0003,Documentary source and package validation evidence now; future implementation and runtime evidence remain unavailable.,Future Code Guide adoption or activation review owner,RETAIN_WITH_CONDITION_AND_STAGE_22_FOUNDER_REVIEW,P2,W1-V11-FIND-0001;W1-V11-FIND-0004
W1-V11-RISK-ES_CG_13-0004,ES-CG-13,financial risk,Candidate Custody Treatment misuse or overclaim,"A reviewer could overread ES-CG-13-CTRL-0004 as adoption, activation, implementation, runtime evidence, or closure authority.",ES-CG-13-CTRL-0004,ES-CG-13-INV-0004,W1-V11-VER-ES-CG-13-CTRL-0004,Documentary source and package validation evidence now; future implementation and runtime evidence remain unavailable.,Future Code Guide adoption or activation review owner,RETAIN_WITH_CONDITION_AND_STAGE_22_FOUNDER_REVIEW,P2,W1-V11-FIND-0001;W1-V11-FIND-0004
W1-V11-RISK-ES_CG_13-0005,ES-CG-13,AI-assisted workflow risk,Candidate Closure Boundary misuse or overclaim,"A reviewer could overread ES-CG-13-CTRL-0005 as adoption, activation, implementation, runtime evidence, or closure authority.",ES-CG-13-CTRL-0005,ES-CG-13-INV-0005,W1-V11-VER-ES-CG-13-CTRL-0005,Documentary source and package validation evidence now; future implementation and runtime evidence remain unavailable.,Future Code Guide adoption or activation review owner,RETAIN_WITH_CONDITION_AND_STAGE_22_FOUNDER_REVIEW,P2,W1-V11-FIND-0001;W1-V11-FIND-0004
W1-V11-RISK-ES_CG_13-0006,ES-CG-13,external-integration risk,Candidate Activation Boundary misuse or overclaim,"A reviewer could overread ES-CG-13-CTRL-0006 as adoption, activation, implementation, runtime evidence, or closure authority.",ES-CG-13-CTRL-0006,ES-CG-13-INV-0006,W1-V11-VER-ES-CG-13-CTRL-0006,Documentary source and package validation evidence now; future implementation and runtime evidence remain unavailable.,Future Code Guide adoption or activation review owner,RETAIN_WITH_CONDITION_AND_STAGE_22_FOUNDER_REVIEW,P2,W1-V11-FIND-0001;W1-V11-FIND-0004
