guide_id,stage,lifecycle_activity,authorized_range,stage_result,evidence,adoption_state,activation_state,required_future_authority,stage_22_disposition_reference
ES-CG-00,18,Implementer usability review,V1_1_STAGES_3_THROUGH_21,COMPLETE_WITH_CONDITIONS,Usability review completed; future mapping package remains separately authorized only.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-00,19,Representative scenario validation,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,Twenty documentary scenarios completed.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-00,20,Assurance review,V1_1_STAGES_3_THROUGH_21,COMPLETE_WITH_EVIDENCE_LIMITS,A3 HIGH assurance proposed; evidence grades limited to E2/E3 for documentary validation and E0 for implementation/runtime.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-00,21,Adoption-candidate packaging,V1_1_STAGES_3_THROUGH_21,ADOPTION_CANDIDATE_COMPLETE_WITH_CONDITIONS,"Required per-guide and root package artifacts, manifest, checksums, validator, and tests prepared.",NOT_ADOPTED,NOT_ACTIVE,FOUNDER_STAGE_22_DISPOSITION_REQUIRED_BEFORE_ADOPTION,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-01,3,Current-state assessment,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,Current and historical materials assessed with status labels; desired state and actual repository state distinguished.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-01,4,Mandatory-question matrix,V1_1_STAGES_3_THROUGH_21,COMPLETE_WITH_RETAINED_CONDITIONS,All 32 prior questions reassessed; no question omitted; all answers limited to documentary evidence.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-01,5,Product outcomes and invariants,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,Outcomes and invariants mapped to controls with evidence expectations.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-01,6,"Risk, misuse, abuse, and failure analysis",V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,"Risk rows cover authority misuse, validation failure, evidence overclaim, and domain-risk categories.",NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-01,7,Draft controls and patterns,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,Controls written as documentary requirements with prohibited behaviors and exception limits.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-01,8,Quality and usability requirements,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,"Quality, usability, accessibility, and machine-readability requirements recorded.",NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-01,9,Verification design,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,Controls and invariants mapped to objective documentary validation and future evidence boundaries.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-01,10,Atlas and documentary traceability,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,"Frozen source, PIA, atlas, architecture, and custody traceability recorded as documentary overlay.",NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-01,11,Repository responsibility traceability,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY_LIMITED,"Only broad domains, generic profiles, and future obligations identified; no specific implementation mapping.",NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-01,12,Machine validation,V1_1_STAGES_3_THROUGH_21,PASS,Package-local validator and tests created; final execution recorded in validation report.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-01,13,Author self-review,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,Author self-review completed and findings retained.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-01,14,Technical peer review,V1_1_STAGES_3_THROUGH_21,CONDITIONED_INDEPENDENT_TECHNICAL_REVIEW_NOT_AVAILABLE,Technical review recorded without false claim of independent reviewer.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-01,15,Domain and user-workflow review,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY_NO_HUMAN_DOMAIN_EXPERT_APPROVAL_CLAIMED,"Document-based domain review completed against PIAs, atlases, and workflows.",NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-01,16,Cross-guide reconciliation,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,"Cross-guide definitions, authority, evidence, and activation boundaries reconciled.",NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-01,17,Adversarial and red-team review,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY_NO_P0_P1_FINDING,Adversarial attempts recorded; no open P0/P1 package blocker identified.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-01,18,Implementer usability review,V1_1_STAGES_3_THROUGH_21,COMPLETE_WITH_CONDITIONS,Usability review completed; future mapping package remains separately authorized only.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-01,19,Representative scenario validation,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,Twenty documentary scenarios completed.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-01,20,Assurance review,V1_1_STAGES_3_THROUGH_21,COMPLETE_WITH_EVIDENCE_LIMITS,A3 HIGH assurance proposed; evidence grades limited to E2/E3 for documentary validation and E0 for implementation/runtime.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-01,21,Adoption-candidate packaging,V1_1_STAGES_3_THROUGH_21,ADOPTION_CANDIDATE_COMPLETE_WITH_CONDITIONS,"Required per-guide and root package artifacts, manifest, checksums, validator, and tests prepared.",NOT_ADOPTED,NOT_ACTIVE,FOUNDER_STAGE_22_DISPOSITION_REQUIRED_BEFORE_ADOPTION,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-10,3,Current-state assessment,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,Current and historical materials assessed with status labels; desired state and actual repository state distinguished.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-10,4,Mandatory-question matrix,V1_1_STAGES_3_THROUGH_21,COMPLETE_WITH_RETAINED_CONDITIONS,All 32 prior questions reassessed; no question omitted; all answers limited to documentary evidence.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-10,5,Product outcomes and invariants,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,Outcomes and invariants mapped to controls with evidence expectations.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-10,6,"Risk, misuse, abuse, and failure analysis",V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,"Risk rows cover authority misuse, validation failure, evidence overclaim, and domain-risk categories.",NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-10,7,Draft controls and patterns,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,Controls written as documentary requirements with prohibited behaviors and exception limits.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-10,8,Quality and usability requirements,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,"Quality, usability, accessibility, and machine-readability requirements recorded.",NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-10,9,Verification design,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,Controls and invariants mapped to objective documentary validation and future evidence boundaries.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-10,10,Atlas and documentary traceability,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,"Frozen source, PIA, atlas, architecture, and custody traceability recorded as documentary overlay.",NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-10,11,Repository responsibility traceability,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY_LIMITED,"Only broad domains, generic profiles, and future obligations identified; no specific implementation mapping.",NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-10,12,Machine validation,V1_1_STAGES_3_THROUGH_21,PASS,Package-local validator and tests created; final execution recorded in validation report.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-10,13,Author self-review,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,Author self-review completed and findings retained.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-10,14,Technical peer review,V1_1_STAGES_3_THROUGH_21,CONDITIONED_INDEPENDENT_TECHNICAL_REVIEW_NOT_AVAILABLE,Technical review recorded without false claim of independent reviewer.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-10,15,Domain and user-workflow review,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY_NO_HUMAN_DOMAIN_EXPERT_APPROVAL_CLAIMED,"Document-based domain review completed against PIAs, atlases, and workflows.",NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-10,16,Cross-guide reconciliation,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,"Cross-guide definitions, authority, evidence, and activation boundaries reconciled.",NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-10,17,Adversarial and red-team review,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY_NO_P0_P1_FINDING,Adversarial attempts recorded; no open P0/P1 package blocker identified.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-10,18,Implementer usability review,V1_1_STAGES_3_THROUGH_21,COMPLETE_WITH_CONDITIONS,Usability review completed; future mapping package remains separately authorized only.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-10,19,Representative scenario validation,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,Twenty documentary scenarios completed.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-10,20,Assurance review,V1_1_STAGES_3_THROUGH_21,COMPLETE_WITH_EVIDENCE_LIMITS,A3 HIGH assurance proposed; evidence grades limited to E2/E3 for documentary validation and E0 for implementation/runtime.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-10,21,Adoption-candidate packaging,V1_1_STAGES_3_THROUGH_21,ADOPTION_CANDIDATE_COMPLETE_WITH_CONDITIONS,"Required per-guide and root package artifacts, manifest, checksums, validator, and tests prepared.",NOT_ADOPTED,NOT_ACTIVE,FOUNDER_STAGE_22_DISPOSITION_REQUIRED_BEFORE_ADOPTION,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-13,3,Current-state assessment,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,Current and historical materials assessed with status labels; desired state and actual repository state distinguished.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-13,4,Mandatory-question matrix,V1_1_STAGES_3_THROUGH_21,COMPLETE_WITH_RETAINED_CONDITIONS,All 32 prior questions reassessed; no question omitted; all answers limited to documentary evidence.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-13,5,Product outcomes and invariants,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,Outcomes and invariants mapped to controls with evidence expectations.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-13,6,"Risk, misuse, abuse, and failure analysis",V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,"Risk rows cover authority misuse, validation failure, evidence overclaim, and domain-risk categories.",NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-13,7,Draft controls and patterns,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,Controls written as documentary requirements with prohibited behaviors and exception limits.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-13,8,Quality and usability requirements,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,"Quality, usability, accessibility, and machine-readability requirements recorded.",NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-13,9,Verification design,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,Controls and invariants mapped to objective documentary validation and future evidence boundaries.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-13,10,Atlas and documentary traceability,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,"Frozen source, PIA, atlas, architecture, and custody traceability recorded as documentary overlay.",NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-13,11,Repository responsibility traceability,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY_LIMITED,"Only broad domains, generic profiles, and future obligations identified; no specific implementation mapping.",NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-13,12,Machine validation,V1_1_STAGES_3_THROUGH_21,PASS,Package-local validator and tests created; final execution recorded in validation report.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-13,13,Author self-review,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY,Author self-review completed and findings retained.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-13,14,Technical peer review,V1_1_STAGES_3_THROUGH_21,CONDITIONED_INDEPENDENT_TECHNICAL_REVIEW_NOT_AVAILABLE,Technical review recorded without false claim of independent reviewer.,NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
ES-CG-13,15,Domain and user-workflow review,V1_1_STAGES_3_THROUGH_21,COMPLETE_DOCUMENTARY_NO_HUMAN_DOMAIN_EXPERT_APPROVAL_CLAIMED,"Document-based domain review completed against PIAs, atlases, and workflows.",NOT_ADOPTED,NOT_ACTIVE,NONE_FOR_THIS_STAGE_WITHIN_DIRECTIVE,FOUNDER_STAGE_22_ADOPTION_DISPOSITION.md;STAGE_22_ADOPTION_RECORD.csv
