outcome_id,guide_id,outcome_statement,prohibited_outcome,invariant_id,invariant_statement,invariant_type,related_controls,evidence_expectation,evidence_grade,verification_method,cross_guide_reference,current_status
ES-CG-10-OUT-0001,ES-CG-10,"Testing, Verification, and Assurance preserves Candidate Testing Layer Treatment as documentary, source-traceable guidance for future review.","Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-10-INV-0001,"Testing Layer Treatment remains candidate-only, traceable to frozen normative rows, and separated from adoption, activation, merge, implementation, production, and source-promotion authority.",DOCUMENTARY_AUTHORITY_AND_EVIDENCE_INVARIANT,ES-CG-10-CTRL-0001,E2 documented source and review evidence now; implementation and runtime evidence require separate authority.,E2 DOCUMENTED,W1-V11-VER-ES-CG-10-INV-0001,NONE,CURRENT_AND_REUSABLE_WITH_V1_1_RECLASSIFICATION
ES-CG-10-OUT-0002,ES-CG-10,"Testing, Verification, and Assurance preserves Candidate Verification Treatment as documentary, source-traceable guidance for future review.","Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-10-INV-0002,"Verification Treatment remains candidate-only, traceable to frozen normative rows, and separated from adoption, activation, merge, implementation, production, and source-promotion authority.",DOCUMENTARY_AUTHORITY_AND_EVIDENCE_INVARIANT,ES-CG-10-CTRL-0002,E2 documented source and review evidence now; implementation and runtime evidence require separate authority.,E2 DOCUMENTED,W1-V11-VER-ES-CG-10-INV-0002,NONE,CURRENT_AND_REUSABLE_WITH_V1_1_RECLASSIFICATION
ES-CG-10-OUT-0003,ES-CG-10,"Testing, Verification, and Assurance preserves Candidate Assurance Treatment as documentary, source-traceable guidance for future review.","Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-10-INV-0003,"Assurance Treatment remains candidate-only, traceable to frozen normative rows, and separated from adoption, activation, merge, implementation, production, and source-promotion authority.",DOCUMENTARY_AUTHORITY_AND_EVIDENCE_INVARIANT,ES-CG-10-CTRL-0003,E2 documented source and review evidence now; implementation and runtime evidence require separate authority.,E2 DOCUMENTED,W1-V11-VER-ES-CG-10-INV-0003,NONE,CURRENT_AND_REUSABLE_WITH_V1_1_RECLASSIFICATION
ES-CG-10-OUT-0004,ES-CG-10,"Testing, Verification, and Assurance preserves Candidate Positive And Negative Test Treatment as documentary, source-traceable guidance for future review.","Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-10-INV-0004,"Positive And Negative Test Treatment remains candidate-only, traceable to frozen normative rows, and separated from adoption, activation, merge, implementation, production, and source-promotion authority.",DOCUMENTARY_AUTHORITY_AND_EVIDENCE_INVARIANT,ES-CG-10-CTRL-0004,E2 documented source and review evidence now; implementation and runtime evidence require separate authority.,E2 DOCUMENTED,W1-V11-VER-ES-CG-10-INV-0004,NONE,CURRENT_AND_REUSABLE_WITH_V1_1_RECLASSIFICATION
ES-CG-10-OUT-0005,ES-CG-10,"Testing, Verification, and Assurance preserves Candidate CI Interpretation Boundary as documentary, source-traceable guidance for future review.","Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-10-INV-0005,"CI Interpretation Boundary remains candidate-only, traceable to frozen normative rows, and separated from adoption, activation, merge, implementation, production, and source-promotion authority.",DOCUMENTARY_AUTHORITY_AND_EVIDENCE_INVARIANT,ES-CG-10-CTRL-0005,E2 documented source and review evidence now; implementation and runtime evidence require separate authority.,E2 DOCUMENTED,W1-V11-VER-ES-CG-10-INV-0005,NONE,CURRENT_AND_REUSABLE_WITH_V1_1_RECLASSIFICATION
ES-CG-10-OUT-0006,ES-CG-10,"Testing, Verification, and Assurance preserves Candidate False-Pass Prevention as documentary, source-traceable guidance for future review.","Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-10-INV-0006,"False-Pass Prevention remains candidate-only, traceable to frozen normative rows, and separated from adoption, activation, merge, implementation, production, and source-promotion authority.",DOCUMENTARY_AUTHORITY_AND_EVIDENCE_INVARIANT,ES-CG-10-CTRL-0006,E2 documented source and review evidence now; implementation and runtime evidence require separate authority.,E2 DOCUMENTED,W1-V11-VER-ES-CG-10-INV-0006,NONE,CURRENT_AND_REUSABLE_WITH_V1_1_RECLASSIFICATION
ES-CG-13-OUT-0001,ES-CG-13,"Completion, Evidence, and Traceability preserves Candidate Completion Treatment as documentary, source-traceable guidance for future review.","Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-13-INV-0001,"Completion Treatment remains candidate-only, traceable to frozen normative rows, and separated from adoption, activation, merge, implementation, production, and source-promotion authority.",DOCUMENTARY_AUTHORITY_AND_EVIDENCE_INVARIANT,ES-CG-13-CTRL-0001,E2 documented source and review evidence now; implementation and runtime evidence require separate authority.,E2 DOCUMENTED,W1-V11-VER-ES-CG-13-INV-0001,ES-CG-10,CURRENT_AND_REUSABLE_WITH_V1_1_RECLASSIFICATION
ES-CG-13-OUT-0002,ES-CG-13,"Completion, Evidence, and Traceability preserves Candidate Evidence Grade Treatment as documentary, source-traceable guidance for future review.","Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-13-INV-0002,"Evidence Grade Treatment remains candidate-only, traceable to frozen normative rows, and separated from adoption, activation, merge, implementation, production, and source-promotion authority.",DOCUMENTARY_AUTHORITY_AND_EVIDENCE_INVARIANT,ES-CG-13-CTRL-0002,E2 documented source and review evidence now; implementation and runtime evidence require separate authority.,E2 DOCUMENTED,W1-V11-VER-ES-CG-13-INV-0002,ES-CG-10,CURRENT_AND_REUSABLE_WITH_V1_1_RECLASSIFICATION
ES-CG-13-OUT-0003,ES-CG-13,"Completion, Evidence, and Traceability preserves Candidate Traceability Treatment as documentary, source-traceable guidance for future review.","Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-13-INV-0003,"Traceability Treatment remains candidate-only, traceable to frozen normative rows, and separated from adoption, activation, merge, implementation, production, and source-promotion authority.",DOCUMENTARY_AUTHORITY_AND_EVIDENCE_INVARIANT,ES-CG-13-CTRL-0003,E2 documented source and review evidence now; implementation and runtime evidence require separate authority.,E2 DOCUMENTED,W1-V11-VER-ES-CG-13-INV-0003,ES-CG-10,CURRENT_AND_REUSABLE_WITH_V1_1_RECLASSIFICATION
ES-CG-13-OUT-0004,ES-CG-13,"Completion, Evidence, and Traceability preserves Candidate Custody Treatment as documentary, source-traceable guidance for future review.","Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-13-INV-0004,"Custody Treatment remains candidate-only, traceable to frozen normative rows, and separated from adoption, activation, merge, implementation, production, and source-promotion authority.",DOCUMENTARY_AUTHORITY_AND_EVIDENCE_INVARIANT,ES-CG-13-CTRL-0004,E2 documented source and review evidence now; implementation and runtime evidence require separate authority.,E2 DOCUMENTED,W1-V11-VER-ES-CG-13-INV-0004,ES-CG-10,CURRENT_AND_REUSABLE_WITH_V1_1_RECLASSIFICATION
ES-CG-13-OUT-0005,ES-CG-13,"Completion, Evidence, and Traceability preserves Candidate Closure Boundary as documentary, source-traceable guidance for future review.","Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-13-INV-0005,"Closure Boundary remains candidate-only, traceable to frozen normative rows, and separated from adoption, activation, merge, implementation, production, and source-promotion authority.",DOCUMENTARY_AUTHORITY_AND_EVIDENCE_INVARIANT,ES-CG-13-CTRL-0005,E2 documented source and review evidence now; implementation and runtime evidence require separate authority.,E2 DOCUMENTED,W1-V11-VER-ES-CG-13-INV-0005,ES-CG-10,CURRENT_AND_REUSABLE_WITH_V1_1_RECLASSIFICATION
ES-CG-13-OUT-0006,ES-CG-13,"Completion, Evidence, and Traceability preserves Candidate Activation Boundary as documentary, source-traceable guidance for future review.","Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-13-INV-0006,"Activation Boundary remains candidate-only, traceable to frozen normative rows, and separated from adoption, activation, merge, implementation, production, and source-promotion authority.",DOCUMENTARY_AUTHORITY_AND_EVIDENCE_INVARIANT,ES-CG-13-CTRL-0006,E2 documented source and review evidence now; implementation and runtime evidence require separate authority.,E2 DOCUMENTED,W1-V11-VER-ES-CG-13-INV-0006,ES-CG-10,CURRENT_AND_REUSABLE_WITH_V1_1_RECLASSIFICATION
