record_id,identifier,classification,verified_paths,verified_sha256,exact_c0_hash_match,note
C0-011,EQUINESYNC_CANON_DEPENDENCY_MAP_V1_1,EXACT_SOURCE_VERIFIED,docs/canon/reviews/stage0_companion_reconciliation_v1_2/EQUINESYNC_CANON_DEPENDENCY_MAP_V1_1.md,516856c982af8d882ec6f94933b5a01ea6558ca63d47c9a6237ee76fe0f12a44,TRUE,Exact Stage 0 package source and checksum verified; not adopted or locked.
C0-012,MASTER_HORSE_LIFECYCLE_V3_1,EXACT_PACKAGE_SOURCE_VERIFIED_REPOSITORY_PATH_UNRESOLVED,docs/canon/MASTER_HORSE_LIFECYCLE.md,cd47c8fe3e76eee067594f38efd45265929d279c4d1fd9dc2a70e16fea976391,FALSE,C0 records an exact package source and checksum for Horse Lifecycle V3.1. Repository linkage and lifecycle disposition remain unresolved; the current repository source is not asserted byte-identical.
C0-013,MASTER_HORSE_TRANSFER_AND_CONTINUITY_POLICY_V2_0,REPOSITORY_SOURCE_AND_LOCK_VERIFIED,docs/canon/MASTER_HORSE_TRANSFER_AND_CONTINUITY_POLICY.md;docs/canon/MASTER_HORSE_TRANSFER_AND_CONTINUITY_POLICY_FINAL_LOCK_REPORT.md;docs/RF31/RF31_FINAL_FOUNDER_ACCEPTANCE_RECORD.md;outputs/rf31_horse_transfer_policy_final_lock_package.zip,a54fd42261d99819f26ac77a6e207f121049a3c4f6d2e69e3b6e7b5167435c6b;1681c6fc298c1c2ada88cf7538fee50fd4bafa2b1edbd87f1246435ce89026c7;90f4f0dd126273240390851beacb2d3d1b82dcbd3e147752c90d343833979f8f;cf9b49270cb5d8d7cb54b80ba49a6084dd7bfa5bf8ccb18ea8b1a9111f4b011f,FALSE,"RF31 FD01-FD30 final acceptance, controlling policy, and lock evidence verified after C0 creation."
C0-014,MASTER_FACILITY_DOMAIN_MODEL_V2_1,EXACT_PACKAGE_SOURCE_VERIFIED_REPOSITORY_PATH_UNRESOLVED,docs/canon/MASTER_FACILITY_DOMAIN_MODEL.md,ee97b61290d7552a9907df14db25b2a3b4a8a32a57871adca6ce0e373b5c712b,FALSE,C0 records an exact package source and checksum for Facility Domain V2.1. Repository linkage and lifecycle disposition remain unresolved; the current repository source is not asserted byte-identical.
C0-015,MASTER_BARN_LIFECYCLE_V3_1,EXACT_PACKAGE_SOURCE_VERIFIED_REPOSITORY_PATH_UNRESOLVED,docs/canon/MASTER_BARN_LIFECYCLE.md,3e7428771d3d8868e801e80551912a8f6284f5a4d53698d170d4b67b3be13553,FALSE,C0 records an exact package source and checksum for Barn Lifecycle V3.1. Repository linkage and lifecycle disposition remain unresolved; the current repository source is not asserted byte-identical.
C0-016,MASTER_BUSINESS_LIFECYCLE_V2_1,EXACT_PACKAGE_SOURCE_VERIFIED_REPOSITORY_PATH_UNRESOLVED,docs/canon/MASTER_BUSINESS_LIFECYCLE.md,063339ec8b8aab20908742675013692de2dbb56f018939bac71371b8366d2466,FALSE,C0 records an exact package source and checksum for Business Lifecycle V2.1. Repository linkage and lifecycle disposition remain unresolved; the current repository source is not asserted byte-identical.
C0-017,MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0,REPOSITORY_SOURCE_AND_LOCK_VERIFIED,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0.md;docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0_FINAL_LOCK_REPORT.md;docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0_LOCK_MANIFEST.md,1c79c20a2edd2e7e3907e875679c5871d53c146a226364fb0cc3f956d39f5d0e;f2f9a3ad2b660dea27170db63b81c11decb8aeaeb8809bf0d1de234dd747a0b9;0ca39f803324efa66803d0c5f041489adf522ac013bbfd431e9f398973574920,FALSE,Exact active V2.0 source and checksum-bound lock chain verified.
C0-018,MASTER_RELATIONSHIP_MODEL_V2_0,REPOSITORY_SOURCE_AND_LOCK_VERIFIED,docs/canon/MASTER_RELATIONSHIP_MODEL.md;docs/canon/MASTER_RELATIONSHIP_MODEL_V2_0_FINAL_LOCK_REPORT.md;docs/canon/MASTER_RELATIONSHIP_MODEL_V2_0_FINAL_LOCK_MANIFEST.json,f6715f0a02cad2eb8d8eb140d765b7906052c4d6bf3a5a40372c74c5c1e8ba01;918b9af3844c857dbd404cf1c20f22a30dc060f4eb6d758e2f3249b2d16c1af8;18a2b79d2ca50800f0738093fc0c1c6f5c57e1e9b0f80059dbbaa91cd626f772,FALSE,Active V2.0 successor and checksum-bound lock chain verified.
C0-019,MASTER_AGREEMENT_CONSENT_AND_AUTHORIZATION_MODEL_V2_1,EXACT_PACKAGE_SOURCE_VERIFIED_REPOSITORY_PATH_UNRESOLVED,docs/canon/candidates/MASTER_AGREEMENT_CONSENT_AND_AUTHORIZATION_MODEL_V2_0.md,630b6128e37734be01a40d64b80d9fb4d74fce48198c60f9fcbd1a2ef83c232b,FALSE,C0 records an exact founder-accepted Agreement V2.1 package source and checksum. Repository linkage and successor adoption/lock remain unresolved; V2.0 is not treated as equivalent.
C0-020,MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL,AUTHORIZED_DRAFT_REQUIRED,docs/canon/reviews/drafting_minor_guardianship_safeguarding_v1_0/MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_DELEGATED_ASSISTANCE_CANON_V1_0_DRAFT.md,6269d9d02c67a43f7477553b55857275ab04d92172708ba158e46786f8b87c7b,FALSE,"Previously authorized controlled draft created. It is not adopted, locked, controlling, implemented, or runtime-active."
C0-021,RF29_CALENDAR_DOMAIN_CANON,REPOSITORY_SOURCE_AND_LOCK_VERIFIED,docs/RF29/RF29_FINAL_LOCK_REVIEW.md;docs/RF29/RF29_DELIVERABLE_MANIFEST.md;outputs/build_next_rf29_final_lock.zip,34054198651c14488ed6a29c0fdc3ada98aeeb1e6e94f43a639840c6e25baa02;da10cbe63c2fd32bc6846160f26964e3f14c452f34dd03e5698a1eaadfdb934b;ce64f978cd54bc27cb53e9b75a356479360ed7c3336ccd1eda515c2ca3297cde,FALSE,"RF29 lock, manifest, and evidence package verified."
C0-022,MASTER_PERMISSION_MODEL_V1_1,EXACT_PACKAGE_SOURCE_VERIFIED_REPOSITORY_PATH_UNRESOLVED,docs/canon/MASTER_PERMISSION_MODEL.md,2034979a0fe77fd89ba065ecf9d309f5897641b6c38c9bde7c69dc8ac06adeab,FALSE,C0 records an exact founder-accepted Permission V1.1 package source and checksum. Repository linkage and lifecycle disposition remain unresolved; the unversioned repository source is not asserted byte-identical.
C0-023,MASTER_PRIVACY_AND_DATA_PROTECTION_MODEL_V2_0,EXACT_SOURCE_ABSENT,,,FALSE,Dedicated Master Privacy and Data Protection Model V2.0 remains absent.
C0-024,MASTER_SECURITY_AND_TRUST_MODEL_V1_1,EXACT_PACKAGE_SOURCE_VERIFIED_REPOSITORY_PATH_UNRESOLVED,docs/canon/candidates/MASTER_SECURITY_PRIVACY_AND_TRUST_MODEL_V1_0.md,4aeaea055694405e653e00af9e17ccd4e0f3ecbfa412b7c99222778d12725c00,FALSE,C0 records an exact founder-accepted Security and Trust V1.1 package source and checksum. Repository linkage and lifecycle disposition remain unresolved; V1.0 is not treated as equivalent.
C0-025,MASTER_DATA_PROTECTION_ENCRYPTION_AND_KEY_MANAGEMENT_MODEL_V1_0,EXACT_SOURCE_AND_FOUNDER_EXCEPTION_VERIFIED,docs/canon/candidates/MASTER_DATA_PROTECTION_ENCRYPTION_AND_KEY_MANAGEMENT_MODEL_V1_0.md;docs/canon/reviews/stage0_companion_reconciliation_v1_2/EQUINESYNC_SECURITY_FOUNDATIONAL_MODELS_V1_0_FOUNDER_VERSION_EXCEPTION_DIRECTIVE_V1_0.md;outputs/security_foundational_models_v1_0_founder_review_package.zip,0fa543e25a2cffe75e9d07b68ccf0adefb8ae31e10c05afd5f1b84ee452a23ba;9bd05475d6b6f024199239a5e2fb4c4b865b501a707c5fc6ec7a9954ba28a66e;7207f3a65b63784271e70c2506d4075ec987bc16a40d2a917a79480f41afaa13,TRUE,Exact V1.0 bytes and founder version exception verified; adoption and lock remain false.
C0-026,MASTER_RECORD_STEWARDSHIP_AND_RETENTION_MODEL_V2_1,REPOSITORY_SOURCE_LIFECYCLE_PARTIAL,docs/canon/MASTER_RECORD_STEWARDSHIP_AND_RETENTION_MODEL_V2_1.md;docs/canon/intake/MASTER_RECORD_STEWARDSHIP_AND_RETENTION_MODEL_V2_1_FOUNDER_SOURCE.md,4623fb036481a4ffea4e7edde53fa6e83e9a81f062251c8371e242219f524c2a;8161a194a4b3d3c991fc389638084dc0f8561dfef63e56749579a82f77889958,FALSE,V2.1 source and founder source exist; terminal adoption/lock normalization remains incomplete.
C0-027,MASTER_AUDIT_EVENT_AND_EVIDENCE_MODEL_V2_0,REPOSITORY_SOURCE_LIFECYCLE_PARTIAL,docs/canon/candidates/MASTER_AUDIT_EVENT_AND_EVIDENCE_MODEL_V2_0_FOUNDER_APPROVED.md;docs/canon/intake/MASTER_AUDIT_EVENT_AND_EVIDENCE_MODEL_V2_0_FOUNDER_APPROVAL_DIRECTIVE.md,321aefaeee9f04ad927c01d96e4b05549713c118f9868b7fccf7a8e9b53d8ea2;33dc50570819fba1ae5d79bd1f889646805e1fe84023ff58a8e1d74e95a572f4,FALSE,Founder-approved candidate and directive exist; active adoption and lock remain unverified.
C0-028,MASTER_CLAIMS_DISPUTES_AND_AUTHORITY_MODEL_V2_0,EXACT_SOURCE_LIFECYCLE_PARTIAL,docs/canon/intake/MASTER_CLAIMS_DISPUTES_AND_AUTHORITY_MODEL_V2_0_FOUNDER_SOURCE.md;docs/canon/MASTER_CLAIMS_DISPUTES_AND_AUTHORITY_MODEL_V2_0.md,a4787fb641dca1d28d98f10240957d0b09ea8ee1cee8358f64e80dd658b8b626;def33679b38b25ab5bbe0fc5c9c78a4fe8d505533d9c1d91a37035735f283ab4,TRUE,"Exact C0 source hash is verified in intake; active path exists, but terminal lock evidence is not normalized."
C0-029,MASTER_COMMUNICATION_NOTIFICATION_AND_NOTICE_MODEL_V2_0,REPOSITORY_SOURCE_LIFECYCLE_PARTIAL,docs/canon/candidates/MASTER_COMMUNICATION_NOTIFICATION_AND_NOTICE_MODEL_V2_0_FOUNDER_APPROVED.md;docs/canon/intake/MASTER_COMMUNICATION_NOTIFICATION_AND_NOTICE_MODEL_V2_0_CANDIDATE_SOURCE.md,bff9fd88cb312d6666677f924a5923134d995015ab6fbfd7a398bcbeb10dc761;214596c11794a47a81de7730b4f1083155eacb71e7b935c763b5282704599dd3,FALSE,Founder-approved source exists; active adoption and lock remain unverified.
C0-030,MASTER_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_MODEL_V1_0,EXACT_SOURCE_AND_FOUNDER_EXCEPTION_VERIFIED,docs/canon/candidates/MASTER_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_MODEL_V1_0.md;docs/canon/reviews/stage0_companion_reconciliation_v1_2/EQUINESYNC_SECURITY_FOUNDATIONAL_MODELS_V1_0_FOUNDER_VERSION_EXCEPTION_DIRECTIVE_V1_0.md;outputs/security_foundational_models_v1_0_founder_review_package.zip,3dafa7991acc40eb321cdfeae5b9caa59dbf0a41f5184bee36ec9defb0b59734;9bd05475d6b6f024199239a5e2fb4c4b865b501a707c5fc6ec7a9954ba28a66e;7207f3a65b63784271e70c2506d4075ec987bc16a40d2a917a79480f41afaa13,TRUE,Exact V1.0 bytes and founder version exception verified; adoption and lock remain false.
C0-031,MASTER_PLATFORM_RESILIENCE_BACKUP_AND_RECOVERY_OPERATIONAL_MODEL_V1_0,EXACT_SOURCE_AND_FOUNDER_EXCEPTION_VERIFIED,docs/canon/candidates/MASTER_PLATFORM_RESILIENCE_BACKUP_AND_RECOVERY_OPERATIONAL_MODEL_V1_0.md;docs/canon/reviews/stage0_companion_reconciliation_v1_2/EQUINESYNC_SECURITY_FOUNDATIONAL_MODELS_V1_0_FOUNDER_VERSION_EXCEPTION_DIRECTIVE_V1_0.md;outputs/security_foundational_models_v1_0_founder_review_package.zip,9a75d2d0984c929afd6df3d51f3f6135c57443ea34a0205395325f1413095565;9bd05475d6b6f024199239a5e2fb4c4b865b501a707c5fc6ec7a9954ba28a66e;7207f3a65b63784271e70c2506d4075ec987bc16a40d2a917a79480f41afaa13,TRUE,Exact V1.0 bytes verified. Founder exception treats Platform Operations as executor while Incident Response and Resilience are coupled constitutional peers; adoption and lock remain false.
C0-032,MASTER_MEDIA_FILES_AND_DIGITAL_ASSET_GOVERNANCE_MODEL_V2_1,EXACT_SOURCE_VERIFIED,docs/canon/reviews/stage0_companion_reconciliation_v1_2/MASTER_MEDIA_FILES_AND_DIGITAL_ASSET_GOVERNANCE_MODEL_V2_1.md,443ee842c3ba675980353784763dfe76c6c8231532cac24dc8badca315706402,TRUE,Exact founder-accepted V2.1 source verified; adoption and lock remain unverified.
C0-033,MASTER_SEARCH_DISCOVERY_RANKING_AND_RETRIEVAL_MODEL_V2_0,EXACT_SOURCE_ABSENT,,,FALSE,"Exact Search, Discovery, Ranking, and Retrieval V2.0 source remains absent."
C0-034,MASTER_AI_GOVERNANCE_AND_DECISION_BOUNDARY_MODEL_V2_0,COMPETING_FAMILY_SOURCE_UNRESOLVED,docs/canon/MASTER_AI_OPERATING_SYSTEM.md,09d79c809d1261ad6cfc15a6759267fd0bbea080bc2ac40c8c144a7cc6abc68d,FALSE,Related AI canon exists; exact AI Governance and Decision Boundary V2.0 source remains absent.
C0-035,MASTER_REPORTING_ANALYTICS_AND_BUSINESS_INTELLIGENCE_MODEL_V2_0,COMPETING_FAMILY_SOURCE_UNRESOLVED,docs/canon/MASTER_ANALYTICS_FRAMEWORK.md,89cef004d3ea0aee666bdaa577adc771f6a6efd3f84de207c31ef9c6e45cc9ff,FALSE,"Related analytics canon exists; exact Reporting, Analytics, and BI V2.0 source remains absent."
C0-036,MASTER_FINANCIAL_TRUTH_AND_RESPONSIBILITY_MODEL_V2_1,REPOSITORY_SOURCE_AND_LOCK_VERIFIED,docs/canon/MASTER_FINANCIAL_TRUTH_AND_RESPONSIBILITY_MODEL_V2_1.md;docs/canon/reviews/financial_truth_v2_1/MASTER_FINANCIAL_TRUTH_AND_RESPONSIBILITY_MODEL_V2_1_LOCK_REPORT.md;outputs/financial_truth_v2_1_adoption_lock_package.zip,0a5302bba0240ba6acd9871b7453916ff212f91ce2f1622b9a4e236701f52604;6899b89dc6478e4d260629a942a9936e11892f7fde0fd0c2a4bbe529e74be1e4;e1ad1d14c3b7945019985e0a8e5fef69fc51f70f4fe2e38656063be892d54043,FALSE,Exact active V2.1 source and checksum-bound lock evidence verified.
C0-037,MASTER_EQUINE_HEALTH_WELFARE_MEDICAL_RECORD_AND_CLINICAL_SUPPORT_MODEL,AUTHORIZED_DRAFT_REQUIRED,docs/canon/reviews/drafting_equine_health_welfare_medical_v1_0/MASTER_EQUINE_HEALTH_WELFARE_MEDICAL_RECORD_AND_CLINICAL_SUPPORT_MODEL_V1_0_DRAFT.md,6087aa3c6c56e58117937bd226f582ee302a8cc49c78277134fead5ce58834ea,FALSE,"Previously authorized controlled draft created. It is not adopted, locked, controlling, implemented, clinically authoritative, or runtime-active."
C0-038,MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_1,FOUNDER_ACCEPTED_SUCCESSOR_ADOPTION_LOCK_PENDING,docs/canon/MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0.md;docs/canon/MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0_FINAL_LOCK_REPORT.md,0cdad90cb5929588ee137e9835f6b499c3651159381960fbfad436dfcd0fa18d;05a6805641909f67fa721890baee9682a62b93ad55b41c24602e52ca93a7d672,FALSE,C0 records exact package evidence and checksum for founder-accepted External Architecture V2.1. Repository path and successor adoption/lock remain unresolved. Locked V2.0 remains controlling until a separately verified lifecycle transition.
C0-039,MASTER_DEVELOPER_PLATFORM_AND_INTEGRATION_GOVERNANCE_MODEL_V2_1,EXACT_SOURCE_ABSENT,,,FALSE,"Exact Developer, Platform, and Integration Governance V2.1 source remains absent."
C0-040,MASTER_PLATFORM_EXTENSIBILITY_AND_PLUGIN_GOVERNANCE_MODEL_V2_1,EXACT_SOURCE_ABSENT,,,FALSE,Exact Platform Extensibility and Plugin Governance V2.1 source remains absent.
C0-041,MASTER_VENDOR_SECURITY_AND_SUPPLY_CHAIN_MODEL_V2_0,DEDICATED_CANON_ABSENT,,,FALSE,Dedicated Vendor Security and Supply Chain V2.0 source remains absent.
C0-042,MASTER_CONFIGURATION_AND_FEATURE_FLAG_GOVERNANCE_MODEL_V2_0,DEDICATED_CANON_ABSENT,,,FALSE,Dedicated Configuration and Feature Flag Governance V2.0 source remains absent.
C0-043,MASTER_PLATFORM_OPERATIONS_RELIABILITY_AND_RELEASE_MODEL_V2_0,REPOSITORY_SOURCE_LIFECYCLE_PARTIAL,docs/canon/candidates/MASTER_PLATFORM_OPERATIONS_RELIABILITY_AND_RELEASE_MODEL_V2_0.md,16b3cbd473196903fdb1a3586b9e7e827ad8444a91633bf2e982cb821cecdaf7,FALSE,Exact-title V2.0 candidate exists; founder adoption and lock remain pending.
C0-044,NATIVE_OFFLINE_SYNCHRONIZATION_CANON_AND_LOCKED_READINESS_INSTRUMENTS,PARTIAL_OR_SUMMARY_EVIDENCE_ONLY,outputs/native_offline_sync_readiness_final_evidence.zip;outputs/native_offline_sync_founder_acceptance.zip;outputs/native_offline_sync_implementation_planning_evidence.zip;docs/canon/reviews/stage0_c0_classification_correction/OFFLINE_AND_PROGRAM_EVIDENCE_CONSOLIDATION.md,377b4889b86d01922e3d323cce3e98251e6aea3132a4c7b97b3345259feec6c3;e4320454efaacb53926cbe18504bc4e7a599ffb42d38352bfab708b289a1d42d;ba19baf9ef5badb03c642c2a3c49a50d9fcf916d20df45ecd20fa6408fbfb671;33a425803610630c0e1907940ad411893e62e0287e83da8055ff2c71efcf0e06,FALSE,"Multiple immutable readiness, acceptance, planning, correction, and lock packages exist; no single exact machine-readable all-program instrument has been verified."
C0-045,MASTER_EQUINESYNC_IMPLEMENTATION_ATLAS_V1_0,REPOSITORY_SOURCE_AND_ADOPTION_VERIFIED,docs/implementation/MASTER_EQUINESYNC_IMPLEMENTATION_ATLAS_V1_0.md,bfa77b5e03fd9a75c8865b723794ee2da687754f030e72022f1476b9af6021d8,FALSE,Planning Atlas source and controlled adoption verified; Atlas remains not locked and grants no implementation authority.
C0-046,EQUINESYNC_GOVERNANCE_REQUIREMENT_INDEX,EXACT_STANDALONE_SOURCE_BYTES_NOT_MOUNTED_OR_REPOSITORY_LINKED,,,FALSE,Founder-accepted substantive status is preserved. Exact standalone 60-requirement Governance Requirement Index bytes are not mounted or repository-linked; recover the source and do not reconstruct or redraft it.
C0-047,EQUINESYNC_REQUIREMENT_TRACEABILITY_MATRIX,EXACT_STANDALONE_SOURCE_BYTES_NOT_MOUNTED_OR_REPOSITORY_LINKED,,,FALSE,Founder-accepted substantive status is preserved. Exact standalone 60-row Requirement Traceability Matrix bytes are not mounted or repository-linked; recover the source and do not reconstruct or redraft it.
