source_id,source_or_document_id,normative_row_id,guide_identifier,candidate_use,source_class,authority_status
CGSRC-GOV-0002,CGP005-NF-ES-CG-13-0001,CGP006-NR-0064,ES-CG-13,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0003,CGP005-NF-ES-CG-13-0002,CGP006-NR-0065,ES-CG-13,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0004,CGP005-NF-ES-CG-13-0003,CGP006-NR-0066,ES-CG-13,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0005,CGP005-NF-ES-CG-13-0004,CGP006-NR-0067,ES-CG-13,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0007,CGP005-NF-ES-CG-13-0005,CGP006-NR-0068,ES-CG-13,USED,ADOPTED_GOVERNANCE,SUPPORTING
CGSRC-GOV-0008,CGP005-NF-ES-CG-13-0006,CGP006-NR-0069,ES-CG-13,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0009,CGP005-NF-ES-CG-13-0007,CGP006-NR-0070,ES-CG-13,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0010,CGP005-NF-ES-CG-13-0008,CGP006-NR-0071,ES-CG-13,USED,ADOPTED_GOVERNANCE,SUPPORTING
CGSRC-GOV-0011,CGP005-NF-ES-CG-13-0009,CGP006-NR-0072,ES-CG-13,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0012,CGP005-NF-ES-CG-13-0010,CGP006-NR-0073,ES-CG-13,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0013,CGP005-NF-ES-CG-13-0011,CGP006-NR-0074,ES-CG-13,USED,ADOPTED_GOVERNANCE,SUPPORTING
CGSRC-GOV-0014,CGP005-NF-ES-CG-13-0012,CGP006-NR-0075,ES-CG-13,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0016,CGP005-NF-ES-CG-13-0013,CGP006-NR-0076,ES-CG-13,USED,ADOPTED_GOVERNANCE,SUPPORTING
CGSRC-GOV-0017,CGP005-NF-ES-CG-13-0014,CGP006-NR-0077,ES-CG-13,USED,ADOPTED_GOVERNANCE,SUPPORTING
CGSRC-GOV-0018,CGP005-NF-ES-CG-13-0015,CGP006-NR-0078,ES-CG-13,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0134,CGP005-NF-ES-CG-13-0016,CGP006-NR-0079,ES-CG-13,USED,ADOPTED_GOVERNANCE,SUPPORTING
CGSRC-GOV-0140,CGP005-NF-ES-CG-13-0017,CGP006-NR-0080,ES-CG-13,USED,ADOPTED_GOVERNANCE,SUPPORTING
CGSRC-GOV-0141,CGP005-NF-ES-CG-13-0018,CGP006-NR-0081,ES-CG-13,USED,ADOPTED_GOVERNANCE,SUPPORTING
CGSRC-GOV-0152,CGP005-NF-ES-CG-13-0019,CGP006-NR-0082,ES-CG-13,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0153,CGP005-NF-ES-CG-13-0020,CGP006-NR-0083,ES-CG-13,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-PIA-0010,CGP005-NF-ES-CG-13-0021,CGP006-NR-0084,ES-CG-13,USED,APPROVED_PIA,CONTROLLING
CGSRC-HIST-0038,CGP005-NF-ES-CG-13-0022,CGP006-NR-0085,ES-CG-13,USED,HISTORICAL_PREDECESSOR,HISTORICAL
CGSRC-ATLAS-0006,CGP005-NF-ES-CG-13-0023,CGP006-NR-0086,ES-CG-13,USED,IMPLEMENTATION_ATLAS,CONTROLLING
CGSRC-ATLAS-0017,CGP005-NF-ES-CG-13-0024,CGP006-NR-0087,ES-CG-13,USED,IMPLEMENTATION_ATLAS,CONTROLLING
CGSRC-ATLAS-0018,CGP005-NF-ES-CG-13-0025,CGP006-NR-0088,ES-CG-13,USED,IMPLEMENTATION_ATLAS,CONTROLLING
CGSRC-ATLAS-0019,CGP005-NF-ES-CG-13-0026,CGP006-NR-0089,ES-CG-13,USED,IMPLEMENTATION_ATLAS,CONTROLLING
CGSRC-ATLAS-0020,CGP005-NF-ES-CG-13-0027,CGP006-NR-0090,ES-CG-13,USED,IMPLEMENTATION_ATLAS,CONTROLLING
CGSRC-ATLAS-0021,CGP005-NF-ES-CG-13-0028,CGP006-NR-0091,ES-CG-13,USED,IMPLEMENTATION_ATLAS,CONTROLLING
CGSRC-ATLAS-0022,CGP005-NF-ES-CG-13-0029,CGP006-NR-0092,ES-CG-13,USED,IMPLEMENTATION_ATLAS,SUPPORTING
CGSRC-ATLAS-0023,CGP005-NF-ES-CG-13-0030,CGP006-NR-0093,ES-CG-13,USED,IMPLEMENTATION_ATLAS,SUPPORTING
CGSRC-CGP005-0001,CGP005-NF-ES-CG-13-0031,CGP006-NR-0094,ES-CG-13,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-CGP005-0002,CGP005-NF-ES-CG-13-0032,CGP006-NR-0095,ES-CG-13,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-CGP005-0003,CGP005-NF-ES-CG-13-0033,CGP006-NR-0096,ES-CG-13,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-CGP005-0004,CGP005-NF-ES-CG-13-0034,CGP006-NR-0097,ES-CG-13,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-CGP005-0005,CGP005-NF-ES-CG-13-0035,CGP006-NR-0098,ES-CG-13,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-CGP005-0006,CGP005-NF-ES-CG-13-0036,CGP006-NR-0099,ES-CG-13,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-CGP005-0007,CGP005-NF-ES-CG-13-0037,CGP006-NR-0100,ES-CG-13,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-CGP005-0008,CGP005-NF-ES-CG-13-0038,CGP006-NR-0101,ES-CG-13,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-CGP005-0009,CGP005-NF-ES-CG-13-0039,CGP006-NR-0102,ES-CG-13,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-CGP005-0010,CGP005-NF-ES-CG-13-0040,CGP006-NR-0103,ES-CG-13,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-CGP005-0011,CGP005-NF-ES-CG-13-0041,CGP006-NR-0104,ES-CG-13,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-CGP005-0201,CGP005-NF-ES-CG-13-0042,CGP006-NR-0105,ES-CG-13,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-CGP005-0205,CGP005-NF-ES-CG-13-0043,CGP006-NR-0106,ES-CG-13,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-CGP005-0207,CGP005-NF-ES-CG-13-0044,CGP006-NR-0107,ES-CG-13,USED,TEST_EVIDENCE,SUPPORTING
CGSRC-CGP005-0209,CGP005-NF-ES-CG-13-0045,CGP006-NR-0108,ES-CG-13,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-GOV-0007,CGP005-NF-ES-CG-10-0001,CGP006-NR-0109,ES-CG-10,USED,ADOPTED_GOVERNANCE,SUPPORTING
CGSRC-GOV-0008,CGP005-NF-ES-CG-10-0002,CGP006-NR-0110,ES-CG-10,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0016,CGP005-NF-ES-CG-10-0003,CGP006-NR-0111,ES-CG-10,USED,ADOPTED_GOVERNANCE,SUPPORTING
CGSRC-GOV-0017,CGP005-NF-ES-CG-10-0004,CGP006-NR-0112,ES-CG-10,USED,ADOPTED_GOVERNANCE,SUPPORTING
CGSRC-GOV-0018,CGP005-NF-ES-CG-10-0005,CGP006-NR-0113,ES-CG-10,USED,ADOPTED_GOVERNANCE,CONTROLLING
CGSRC-GOV-0140,CGP005-NF-ES-CG-10-0006,CGP006-NR-0114,ES-CG-10,USED,ADOPTED_GOVERNANCE,SUPPORTING
CGSRC-GOV-0141,CGP005-NF-ES-CG-10-0007,CGP006-NR-0115,ES-CG-10,USED,ADOPTED_GOVERNANCE,SUPPORTING
CGSRC-ATLAS-0006,CGP005-NF-ES-CG-10-0008,CGP006-NR-0116,ES-CG-10,USED,IMPLEMENTATION_ATLAS,CONTROLLING
CGSRC-ATLAS-0017,CGP005-NF-ES-CG-10-0009,CGP006-NR-0117,ES-CG-10,USED,IMPLEMENTATION_ATLAS,CONTROLLING
CGSRC-ATLAS-0018,CGP005-NF-ES-CG-10-0010,CGP006-NR-0118,ES-CG-10,USED,IMPLEMENTATION_ATLAS,CONTROLLING
CGSRC-ATLAS-0019,CGP005-NF-ES-CG-10-0011,CGP006-NR-0119,ES-CG-10,USED,IMPLEMENTATION_ATLAS,CONTROLLING
CGSRC-ATLAS-0020,CGP005-NF-ES-CG-10-0012,CGP006-NR-0120,ES-CG-10,USED,IMPLEMENTATION_ATLAS,CONTROLLING
CGSRC-ATLAS-0021,CGP005-NF-ES-CG-10-0013,CGP006-NR-0121,ES-CG-10,USED,IMPLEMENTATION_ATLAS,CONTROLLING
CGSRC-ATLAS-0022,CGP005-NF-ES-CG-10-0014,CGP006-NR-0122,ES-CG-10,USED,IMPLEMENTATION_ATLAS,SUPPORTING
CGSRC-REPO-0006,CGP005-NF-ES-CG-10-0015,CGP006-NR-0123,ES-CG-10,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-REPO-0007,CGP005-NF-ES-CG-10-0016,CGP006-NR-0124,ES-CG-10,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-TEST-0001,CGP005-NF-ES-CG-10-0017,CGP006-NR-0125,ES-CG-10,USED,TEST_EVIDENCE,SUPPORTING
CGSRC-TEST-0002,CGP005-NF-ES-CG-10-0018,CGP006-NR-0126,ES-CG-10,USED,TEST_EVIDENCE,SUPPORTING
CGSRC-TEST-0004,CGP005-NF-ES-CG-10-0019,CGP006-NR-0127,ES-CG-10,USED,TEST_EVIDENCE,SUPPORTING
CGSRC-REPO-0629,CGP005-NF-ES-CG-10-0020,CGP006-NR-0128,ES-CG-10,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-EXT-0002,CGP005-NF-ES-CG-10-0021,CGP006-NR-0129,ES-CG-10,USED,EXTERNAL_STANDARD,SUPPORTING
CGSRC-CGP005-0007,CGP005-NF-ES-CG-10-0022,CGP006-NR-0130,ES-CG-10,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-CGP005-0008,CGP005-NF-ES-CG-10-0023,CGP006-NR-0131,ES-CG-10,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-CGP005-0009,CGP005-NF-ES-CG-10-0024,CGP006-NR-0132,ES-CG-10,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-CGP005-0205,CGP005-NF-ES-CG-10-0025,CGP006-NR-0133,ES-CG-10,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-CGP005-0206,CGP005-NF-ES-CG-10-0026,CGP006-NR-0134,ES-CG-10,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-CGP005-0207,CGP005-NF-ES-CG-10-0027,CGP006-NR-0135,ES-CG-10,USED,TEST_EVIDENCE,SUPPORTING
CGSRC-CGP005-0208,CGP005-NF-ES-CG-10-0028,CGP006-NR-0136,ES-CG-10,USED,TEST_EVIDENCE,SUPPORTING
CGSRC-CGP005-0209,CGP005-NF-ES-CG-10-0029,CGP006-NR-0137,ES-CG-10,USED,REPOSITORY_EVIDENCE,SUPPORTING
CGSRC-CGP005-0210,CGP005-NF-ES-CG-10-0030,CGP006-NR-0138,ES-CG-10,USED,TEST_EVIDENCE,SUPPORTING
CGSRC-CGP005-0211,CGP005-NF-ES-CG-10-0031,CGP006-NR-0139,ES-CG-10,USED,TEST_EVIDENCE,SUPPORTING
