acceptance_id,requirement_id,criterion,evidence_required,current_result
FAC-AC-027,FAC-REQ-027,"Documentary or later authorized executable evidence demonstrates: Every material lifecycle, context, topology, duplicate, public-projection, support, and reconciliation event is auditable and tamper-evident according to Audit canon.",Traceable design record now; executable proof only in a separately authorized implementation phase.,REVALIDATED_DOCUMENTARY_DESIGN_CRITERION_EXECUTION_NOT_AUTHORIZED
FAC-AC-028,FAC-REQ-028,Documentary or later authorized executable evidence demonstrates: Closure and archival preserve required historical identity and references while ending ordinary current visibility and access.,Traceable design record now; executable proof only in a separately authorized implementation phase.,REVALIDATED_DOCUMENTARY_DESIGN_CRITERION_EXECUTION_NOT_AUTHORIZED
FAC-AC-029,FAC-REQ-029,"Documentary or later authorized executable evidence demonstrates: Recovery and replay never resurrect closed, suspended, expired, merged, or revoked context or access.",Traceable design record now; executable proof only in a separately authorized implementation phase.,REVALIDATED_DOCUMENTARY_DESIGN_CRITERION_EXECUTION_NOT_AUTHORIZED
FAC-AC-030,FAC-REQ-030,Documentary or later authorized executable evidence demonstrates: Every API query and mutation enforces authoritative tenant scope before object lookup and returns non-enumerating errors.,Traceable design record now; executable proof only in a separately authorized implementation phase.,REVALIDATED_DOCUMENTARY_DESIGN_CRITERION_EXECUTION_NOT_AUTHORIZED
FAC-AC-031,FAC-REQ-031,"Documentary or later authorized executable evidence demonstrates: Events carry event ID, schema version, tenant, entity, effective time, actor chain, provenance, and idempotency key.",Traceable design record now; executable proof only in a separately authorized implementation phase.,REVALIDATED_DOCUMENTARY_DESIGN_CRITERION_EXECUTION_NOT_AUTHORIZED
FAC-AC-032,FAC-REQ-032,"Documentary or later authorized executable evidence demonstrates: Jobs are tenant-partitioned, checkpointed, idempotent, permission-aware, suspendable, and prevent cross-tenant aggregation unless separately authorized.",Traceable design record now; executable proof only in a separately authorized implementation phase.,REVALIDATED_DOCUMENTARY_DESIGN_CRITERION_EXECUTION_NOT_AUTHORIZED
FAC-AC-033,FAC-REQ-033,"Documentary or later authorized executable evidence demonstrates: Derived indexes and caches are tenant-segmented and receive priority invalidation for suspension, closure, revocation, transfer, and public-projection change.",Traceable design record now; executable proof only in a separately authorized implementation phase.,REVALIDATED_DOCUMENTARY_DESIGN_CRITERION_EXECUTION_NOT_AUTHORIZED
FAC-AC-034,FAC-REQ-034,Documentary or later authorized executable evidence demonstrates: Current barn/account compatibility fields are treated only as as-built mirrors and never as the final Facility/Tenant/Organization model.,Traceable design record now; executable proof only in a separately authorized implementation phase.,REVALIDATED_DOCUMENTARY_DESIGN_CRITERION_EXECUTION_NOT_AUTHORIZED
FAC-AC-035,FAC-REQ-035,"Documentary or later authorized executable evidence demonstrates: First-user seeding does not create organization, membership, relationship, role, permission, or authority facts unless their owning domain separately authorizes them.",Traceable design record now; executable proof only in a separately authorized implementation phase.,REVALIDATED_DOCUMENTARY_DESIGN_CRITERION_EXECUTION_NOT_AUTHORIZED
FAC-AC-036,FAC-REQ-036,"Documentary or later authorized executable evidence demonstrates: Provider, vendor, and service organization actions preserve organization identity, temporal relationship, agreement reference, and accountable human actor where known.",Traceable design record now; executable proof only in a separately authorized implementation phase.,REVALIDATED_DOCUMENTARY_DESIGN_CRITERION_EXECUTION_NOT_AUTHORIZED
FAC-AC-037,FAC-REQ-037,"Documentary or later authorized executable evidence demonstrates: Stewardship assertions remain distinct from ownership, custody, payment, contact, relationship, and permission and retain evidence and dispute state.",Traceable design record now; executable proof only in a separately authorized implementation phase.,REVALIDATED_DOCUMENTARY_DESIGN_CRITERION_EXECUTION_NOT_AUTHORIZED
FAC-AC-038,FAC-REQ-038,"Documentary or later authorized executable evidence demonstrates: Facility, Tenant, and Organization lifecycle state machines use explicit permitted transitions, evidence, approval, notice handoff, audit, and reconciliation.",Traceable design record now; executable proof only in a separately authorized implementation phase.,REVALIDATED_DOCUMENTARY_DESIGN_CRITERION_EXECUTION_NOT_AUTHORIZED
FAC-AC-039,FAC-REQ-039,Documentary or later authorized executable evidence demonstrates: Data collection and public or cross-tenant processing are purpose-limited and minimum-necessary.,Traceable design record now; executable proof only in a separately authorized implementation phase.,REVALIDATED_DOCUMENTARY_DESIGN_CRITERION_EXECUTION_NOT_AUTHORIZED
FAC-AC-040,FAC-REQ-040,"Documentary or later authorized executable evidence demonstrates: No document in this package authorizes implementation, schema change, migration, database mutation, application startup, deployment, enrollment, or production use.",Traceable design record now; executable proof only in a separately authorized implementation phase.,REVALIDATED_DOCUMENTARY_DESIGN_CRITERION_EXECUTION_NOT_AUTHORIZED
FAC-AC-041,FAC-REQ-041,"Positive, negative, and boundary design tests demonstrate: Onboarding is adaptive, role-sensitive, purpose-driven, and hides entity-creation steps with no immediate user purpose.",FAC-TEST-041-P;FAC-TEST-041-N;FAC-TEST-041-B plus auditable design oracle,DOCUMENTARY_CRITERION_INCORPORATED_EXECUTION_NOT_AUTHORIZED
FAC-AC-042,FAC-REQ-042,"Positive, negative, and boundary design tests demonstrate: An individual horse owner can establish the minimum Tenant isolation context and add a horse without creating a Facility or Organization.",FAC-TEST-042-P;FAC-TEST-042-N;FAC-TEST-042-B plus auditable design oracle,DOCUMENTARY_CRITERION_INCORPORATED_EXECUTION_NOT_AUTHORIZED
FAC-AC-043,FAC-REQ-043,"Positive, negative, and boundary design tests demonstrate: An owner may later associate a horse or operating context with a real Facility through an explicit temporal relationship without automatic authority or cross-Tenant disclosure.",FAC-TEST-043-P;FAC-TEST-043-N;FAC-TEST-043-B plus auditable design oracle,DOCUMENTARY_CRITERION_INCORPORATED_EXECUTION_NOT_AUTHORIZED
FAC-AC-044,FAC-REQ-044,"Positive, negative, and boundary design tests demonstrate: A user may later create or associate a real Organization through an explicit temporal relationship without rewriting prior history or granting access.",FAC-TEST-044-P;FAC-TEST-044-N;FAC-TEST-044-B plus auditable design oracle,DOCUMENTARY_CRITERION_INCORPORATED_EXECUTION_NOT_AUTHORIZED
FAC-AC-045,FAC-REQ-045,"Positive, negative, and boundary design tests demonstrate: Tenant creation or assignment never implies a legal Organization, Business, Facility, Barn, provider entity, or public projection.",FAC-TEST-045-P;FAC-TEST-045-N;FAC-TEST-045-B plus auditable design oracle,DOCUMENTARY_CRITERION_INCORPORATED_EXECUTION_NOT_AUTHORIZED
FAC-AC-046,FAC-REQ-046,"Positive, negative, and boundary design tests demonstrate: Every onboarding seed is minimal, purpose-justified, attributable, reversible, and explicitly non-authority-bearing.",FAC-TEST-046-P;FAC-TEST-046-N;FAC-TEST-046-B plus auditable design oracle,DOCUMENTARY_CRITERION_INCORPORATED_EXECUTION_NOT_AUTHORIZED
FAC-AC-047,FAC-REQ-047,"Positive, negative, and boundary design tests demonstrate: Onboarding-created or associated entities never infer authority, stewardship, membership, Relationship facts, staff status, provider capability, or access.",FAC-TEST-047-P;FAC-TEST-047-N;FAC-TEST-047-B plus auditable design oracle,DOCUMENTARY_CRITERION_INCORPORATED_EXECUTION_NOT_AUTHORIZED
FAC-AC-048,FAC-REQ-048,"Positive, negative, and boundary design tests demonstrate: An independent trainer can onboard without a legal Organization and may later associate a real Facility or Organization without changing the earlier operating history.",FAC-TEST-048-P;FAC-TEST-048-N;FAC-TEST-048-B plus auditable design oracle,DOCUMENTARY_CRITERION_INCORPORATED_EXECUTION_NOT_AUTHORIZED
FAC-AC-049,FAC-REQ-049,"Positive, negative, and boundary design tests demonstrate: Multiple Tenants at one physical Facility use explicit temporal associations and isolated private projections; shared topology never leaks Tenant-private data.",FAC-TEST-049-P;FAC-TEST-049-N;FAC-TEST-049-B plus auditable design oracle,DOCUMENTARY_CRITERION_INCORPORATED_EXECUTION_NOT_AUTHORIZED
FAC-AC-050,FAC-REQ-050,"Positive, negative, and boundary design tests demonstrate: An Organization controlling multiple Tenants requires verified temporal control evidence, while access and permissions remain separately granted per Tenant.",FAC-TEST-050-P;FAC-TEST-050-N;FAC-TEST-050-B plus auditable design oracle,DOCUMENTARY_CRITERION_INCORPORATED_EXECUTION_NOT_AUTHORIZED
FAC-AC-051,FAC-REQ-051,"Positive, negative, and boundary design tests demonstrate: A provider or vendor Organization receives only explicit governed capabilities for a stated Tenant, Facility, purpose, and effective period with an accountable human actor.",FAC-TEST-051-P;FAC-TEST-051-N;FAC-TEST-051-B plus auditable design oracle,DOCUMENTARY_CRITERION_INCORPORATED_EXECUTION_NOT_AUTHORIZED
FAC-AC-052,FAC-REQ-052,"Positive, negative, and boundary design tests demonstrate: Consequential actions reject stale or wrong Tenant/Facility context and record visible reconfirmation plus the complete context-switch audit chain.",FAC-TEST-052-P;FAC-TEST-052-N;FAC-TEST-052-B plus auditable design oracle,DOCUMENTARY_CRITERION_INCORPORATED_EXECUTION_NOT_AUTHORIZED
FAC-AC-053,FAC-REQ-053,"Positive, negative, and boundary design tests demonstrate: An ambiguous legacy Facility, Tenant, or Organization import remains tenant-scoped, private, non-authority-bearing, attributable, and quarantined until human-reviewed reconciliation.",FAC-TEST-053-P;FAC-TEST-053-N;FAC-TEST-053-B plus auditable design oracle,DOCUMENTARY_CRITERION_INCORPORATED_EXECUTION_NOT_AUTHORIZED
FAC-AC-054,FAC-REQ-054,"Positive, negative, and boundary design tests demonstrate: Duplicate Facility or Organization candidates are detected without automatic merge and require human review, impact analysis, lineage, conflicts, reconciliation, and feasible reversal.",FAC-TEST-054-P;FAC-TEST-054-N;FAC-TEST-054-B plus auditable design oracle,DOCUMENTARY_CRITERION_INCORPORATED_EXECUTION_NOT_AUTHORIZED
FAC-AC-055,FAC-REQ-055,"Positive, negative, and boundary design tests demonstrate: Facility, Tenant, and Organization transfer, merger, split, closure, suspension, and archival produce explicit proposed-through-reconciled lifecycle evidence without downstream cascade.",FAC-TEST-055-P;FAC-TEST-055-N;FAC-TEST-055-B plus auditable design oracle,DOCUMENTARY_CRITERION_INCORPORATED_EXECUTION_NOT_AUTHORIZED
