Record ID,Layer,Constitutional Family,Exact / Proposed Identifier,Controlling Version,Control Basis,Exact Workspace Source,File Library / Evidence Reference,Repository Path,SHA-256,Source Byte Status,Founder Acceptance,Adoption,Repository Lock,Supersession / Exception,Normalized Lifecycle,Evidence Classification,Unresolved Evidence Class,Required C0 / Later Action,Implementation Authority,Production Authority,Public Claim Authority,Public Launch Authority,Notes
C0-011,L1,Canon Dependency Map,EQUINESYNC_CANON_DEPENDENCY_MAP_V1_1,V1.1,Founder-accepted Stage 0 companion reconciliation,/mnt/data/c0_source_reconciliation/extracted/EquineSync_Stage0_Companion_Reconciliation_Package_V1_2/stage0_companion_reconciliation_v1_2/EQUINESYNC_CANON_DEPENDENCY_MAP_V1_1.md,,UNRESOLVED,516856c982af8d882ec6f94933b5a01ea6558ca63d47c9a6237ee76fe0f12a44,EXACT_PACKAGE_SOURCE,YES,NOT ADOPTED,NOT LOCKED,Supersedes V1.0,FOUNDER_ACCEPTED_SUPPORT_ARTIFACT,VERIFIED_PACKAGE_SOURCE,UE-02 REPOSITORY LIFECYCLE EVIDENCE ABSENT,Verify repository path; update with C2/C3 dependencies.,FALSE,FALSE,FALSE,FALSE,
C0-012,L2,Master Horse Lifecycle and Passport Model,MASTER_HORSE_LIFECYCLE_V3_1,V3.1,Founder-approved foundational corpus and newest-version rule,/mnt/data/c0_source_reconciliation/extracted/EquineSync_Foundational_Canon_Review_Package/MASTER_HORSE_LIFECYCLE_V3_1_SUCCESSOR_CANDIDATE.md,,UNRESOLVED,be225014b476d266d4effcd35fa8577da21d8646e53afbbf60ca3b6509ea0057,EXACT_WORKSPACE_SOURCE,YES,UNRESOLVED,UNRESOLVED,Prior versions preserved,FOUNDATIONAL_FOUNDER_APPROVED,VERIFIED_WORKSPACE_SOURCE,UE-02 REPOSITORY LIFECYCLE EVIDENCE ABSENT,"Verify canonical filename, repository path, adoption and lock evidence.",FALSE,FALSE,FALSE,FALSE,
C0-013,L2,Master Horse Transfer and Continuity Policy,MASTER_HORSE_TRANSFER_AND_CONTINUITY_POLICY_V2_0,V2.0 referenced,Newest-version rule; RF31 governance evidence,,Vocabulary Index V1.1; RF31 planning ledger and transfer matrices,UNRESOLVED,,EXACT_SOURCE_NOT_LOCATED,FOUNDER DIRECTION RECORDED,UNRESOLVED,UNRESOLVED,,FOUNDER_ACCEPTED_SOURCE_UNVERIFIED,FAMILY_REFERENCE_AND_PARTIAL_RF_EVIDENCE,UE-01 EXACT SOURCE ABSENT; UE-05 RF31 FINAL DECISIONS ABSENT,Locate exact policy source and completed RF31 final decision package in C1.,FALSE,FALSE,FALSE,FALSE,
C0-014,L2,Master Facility Domain Model,MASTER_FACILITY_DOMAIN_MODEL_V2_1,V2.1,Founder-approved foundational corpus and newest-version rule,/mnt/data/c0_source_reconciliation/extracted/EquineSync_Foundational_Canon_Review_Package/MASTER_FACILITY_DOMAIN_MODEL_V2_1_SUCCESSOR_CANDIDATE.md,,UNRESOLVED,4b88f477677bb2147df44f766a36b07ca587421967ea510b00e20315a34d2590,EXACT_WORKSPACE_SOURCE,YES,UNRESOLVED,UNRESOLVED,Prior versions preserved,FOUNDATIONAL_FOUNDER_APPROVED,VERIFIED_WORKSPACE_SOURCE,UE-02 REPOSITORY LIFECYCLE EVIDENCE ABSENT,Verify active repository path and adoption/lock records.,FALSE,FALSE,FALSE,FALSE,
C0-015,L2,Master Barn Lifecycle and Operations Canon,MASTER_BARN_LIFECYCLE_V3_1,V3.1,Founder-approved foundational corpus and newest-version rule,/mnt/data/c0_source_reconciliation/extracted/EquineSync_Foundational_Canon_Review_Package/MASTER_BARN_LIFECYCLE_V3_1_SUCCESSOR_CANDIDATE.md,,UNRESOLVED,aebae6b952423435806837abf2fd9d5f1dd0dc96fca74810e78da50f0f80c47a,EXACT_WORKSPACE_SOURCE,YES,UNRESOLVED,UNRESOLVED,Prior versions preserved,FOUNDATIONAL_FOUNDER_APPROVED,VERIFIED_WORKSPACE_SOURCE,UE-02 REPOSITORY LIFECYCLE EVIDENCE ABSENT,"Verify canonical title, repository path, adoption and lock evidence.",FALSE,FALSE,FALSE,FALSE,
C0-016,L2,Master Business Lifecycle Model,MASTER_BUSINESS_LIFECYCLE_V2_1,V2.1,Founder-approved foundational corpus and newest-version rule,/mnt/data/c0_source_reconciliation/extracted/EquineSync_Foundational_Canon_Review_Package/MASTER_BUSINESS_LIFECYCLE_V2_1_SUCCESSOR_CANDIDATE.md,,UNRESOLVED,cd66ca4fcfdcc188ce5d6a44239ad52541c8a0be0c571d935405f64af6b72085,EXACT_WORKSPACE_SOURCE,YES,UNRESOLVED,UNRESOLVED,Prior versions preserved,FOUNDATIONAL_FOUNDER_APPROVED,VERIFIED_WORKSPACE_SOURCE,UE-02 REPOSITORY LIFECYCLE EVIDENCE ABSENT,Verify active repository path and adoption/lock records.,FALSE,FALSE,FALSE,FALSE,
C0-017,L2,"Master Identity, Account, and Actor Model",MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0,V2.0,Reported adopted and locked; exact lifecycle source not mounted,,Identity V2.0 adoption and lock records referenced in companion review and program history,UNRESOLVED,,SOURCE_BYTES_NOT_MOUNTED,YES,REPORTED ADOPTED,REPORTED LOCKED,,ADOPTED_LOCKED_REPOSITORY_EVIDENCE_REQUIRED,LIFECYCLE_EVIDENCE_ONLY,UE-01 EXACT SOURCE ABSENT; UE-03 LOCK CHECKSUM ABSENT,"Locate exact canon source, adoption report, lock record and checksum.",FALSE,FALSE,FALSE,FALSE,
C0-018,L2,Master Relationship Model,MASTER_RELATIONSHIP_MODEL_V2_0,V2.0,Reported adopted and locked; final candidate and adoption records in File Library,,MASTER_RELATIONSHIP_MODEL_V2_0_FINAL_CANDIDATE and adoption/lock artifacts,UNRESOLVED,,SOURCE_BYTES_NOT_MOUNTED,YES,REPORTED ADOPTED,REPORTED LOCKED,,ADOPTED_LOCKED_REPOSITORY_EVIDENCE_REQUIRED,LIFECYCLE_EVIDENCE_ONLY,UE-01 EXACT SOURCE ABSENT; UE-03 LOCK CHECKSUM ABSENT,"Locate exact canon source, adoption report, lock record and checksum.",FALSE,FALSE,FALSE,FALSE,
C0-019,L2,"Master Agreement, Consent, and Authorization Model",MASTER_AGREEMENT_CONSENT_AND_AUTHORIZATION_MODEL_V2_1,V2.1,Newest-version rule and cross-canon reconciliation,/mnt/data/c0_source_reconciliation/extracted/EquineSync_Cross_Canon_Reconciliation_Package_V1_0/equinesync_cross_canon_reconciliation/MASTER_AGREEMENT_CONSENT_AND_AUTHORIZATION_MODEL_V2_1.md,,UNRESOLVED,af34895d8248f0fa26f7c976c345caa7ac9fba7b7bf4f597d32bfb68e0797d20,EXACT_PACKAGE_SOURCE,YES,NOT ESTABLISHED,NOT ESTABLISHED,Supersedes V2.0 substantively,FOUNDER_ACCEPTED_CONTROLLED_ADOPTION_AND_LOCK_PENDING,VERIFIED_PACKAGE_SOURCE,UE-02 REPOSITORY LIFECYCLE EVIDENCE ABSENT,Verify repository path; prepare later adoption evidence.,FALSE,FALSE,FALSE,FALSE,
C0-020,L2,"Master Minor, Guardianship, Safeguarding, and Protected Participant Model",MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL,NOT YET DRAFTED,Founder controlled-completion authorization C2,,,UNRESOLVED,,DRAFT_REQUIRED,NOT YET,NO,NO,,AUTHORIZED_FOR_CONTROLLED_DRAFTING,FOUNDER_DRAFT_AUTHORIZATION,UE-06 DEDICATED CANON ABSENT,"Draft in C2; establish exact title, identifier, version and ownership boundaries.",FALSE,FALSE,FALSE,FALSE,
C0-021,L2,RF29 Calendar Domain Canon,RF29_CALENDAR_DOMAIN_CANON,RF29 locked,Program history records RF29 locked and complete,,RF29 lock package and permission/visibility matrix references,UNRESOLVED,,PARTIAL_SOURCE_SET,YES,SCOPE-SPECIFIC / REPORTED,REPORTED LOCKED,,LOCKED_RF_SOURCE_SET_REQUIRED,PARTIAL_RF_EVIDENCE,UE-04 INCOMPLETE EVIDENCE SET,"Locate RF29 canon, lock record, manifest and checksum.",FALSE,FALSE,FALSE,FALSE,
C0-022,L3,Master Permission and Access-Control Model,MASTER_PERMISSION_MODEL_V1_1,V1.1,Newest-version rule and cross-canon reconciliation,/mnt/data/c0_source_reconciliation/extracted/EquineSync_Cross_Canon_Reconciliation_Package_V1_0/equinesync_cross_canon_reconciliation/MASTER_PERMISSION_MODEL_V1_1.md,,UNRESOLVED,6e3f4160e4166831cfe4f154032ff7648a5a44b70762289252c615e98b899fa3,EXACT_PACKAGE_SOURCE,YES,NOT ESTABLISHED,NOT ESTABLISHED,Supersedes unversioned/V1.0 source substantively,FOUNDER_ACCEPTED_CONTROLLED_ADOPTION_AND_LOCK_PENDING,VERIFIED_PACKAGE_SOURCE,UE-02 REPOSITORY LIFECYCLE EVIDENCE ABSENT,Verify formal repository filename and later adoption/lock evidence.,FALSE,FALSE,FALSE,FALSE,
C0-023,L3,Master Privacy and Data Protection Model,MASTER_PRIVACY_AND_DATA_PROTECTION_MODEL_V2_0,V2.0,Newest-version rule; exact source located in File Library,,MASTER_PRIVACY_AND_DATA_PROTECTION_MODEL_V2_0 reviewed draft/docx,UNRESOLVED,,FILE_LIBRARY_SOURCE_LOCATED,YES,UNRESOLVED,UNRESOLVED,,FOUNDER_ACCEPTED_SOURCE_CHECKSUM_UNVERIFIED,LOCATED_FILE_LIBRARY_SOURCE,UE-03 CHECKSUM AND REPOSITORY PATH ABSENT,Mount exact source bytes; compute checksum; verify adoption and lock evidence.,FALSE,FALSE,FALSE,FALSE,
C0-024,L3,Master Security and Trust Model,MASTER_SECURITY_AND_TRUST_MODEL_V1_1,V1.1,Newest-version rule and cross-canon reconciliation,/mnt/data/c0_source_reconciliation/extracted/EquineSync_Cross_Canon_Reconciliation_Package_V1_0/equinesync_cross_canon_reconciliation/MASTER_SECURITY_AND_TRUST_MODEL_V1_1.md,,UNRESOLVED,c12dc835724992a076870258bf42a9b0539eb976998d7a2416fefe60e99543b8,EXACT_PACKAGE_SOURCE,YES,NOT ESTABLISHED,NOT ESTABLISHED,"Supersedes Security, Privacy and Trust V1.0 within reconciled scope",FOUNDER_ACCEPTED_CONTROLLED_ADOPTION_AND_LOCK_PENDING,VERIFIED_PACKAGE_SOURCE,UE-02 REPOSITORY LIFECYCLE EVIDENCE ABSENT,Verify repository path and adoption/lock evidence.,FALSE,FALSE,FALSE,FALSE,
C0-025,L3,"Master Data Protection, Encryption, and Key Management Model",MASTER_DATA_PROTECTION_ENCRYPTION_AND_KEY_MANAGEMENT_MODEL_V1_0,V1.0 EXCEPTION,Express founder-directed security package exception,/mnt/data/c0_source_reconciliation/extracted/security_foundational_models_v1_0_founder_review_package/docs/canon/candidates/MASTER_DATA_PROTECTION_ENCRYPTION_AND_KEY_MANAGEMENT_MODEL_V1_0.md,,UNRESOLVED,0fa543e25a2cffe75e9d07b68ccf0adefb8ae31e10c05afd5f1b84ee452a23ba,EXACT_CHECKSUM_PACKAGE_SOURCE,YES,NOT ESTABLISHED,NOT ESTABLISHED,V1.0 exception controls; higher-numbered references do not supersede by number alone,FOUNDER_ACCEPTED_EXCEPTION_CONTROLLED_ADOPTION_LOCK_PENDING,VERIFIED_EXCEPTION_PACKAGE_SOURCE,UE-02 REPOSITORY LIFECYCLE EVIDENCE ABSENT,Verify repository placement of exact package bytes and exception directive.,FALSE,FALSE,FALSE,FALSE,
C0-026,L3,Master Record Stewardship and Retention Model,MASTER_RECORD_STEWARDSHIP_AND_RETENTION_MODEL_V2_1,V2.1,Newest-version rule; exact source located in File Library,,MASTER_RECORD_STEWARDSHIP_AND_RETENTION_MODEL_V2_1.md,UNRESOLVED,,FILE_LIBRARY_SOURCE_LOCATED,YES UNDER NEWEST-VERSION RULE,NOT ESTABLISHED,NOT ESTABLISHED,,FOUNDER_ACCEPTED_CONTROLLED_ADOPTION_AND_LOCK_PENDING,LOCATED_FILE_LIBRARY_SOURCE,UE-03 CHECKSUM AND REPOSITORY PATH ABSENT,"Mount exact bytes, compute checksum, reconcile internal candidate header to founder acceptance.",FALSE,FALSE,FALSE,FALSE,
C0-027,L3,Master Audit Event and Evidence Model,MASTER_AUDIT_EVENT_AND_EVIDENCE_MODEL_V2_0,V2.0,Founder approval recorded; controlled adoption authorized; lock pending,,Audit V2.0 founder approval directive and source,UNRESOLVED,,SOURCE_BYTES_NOT_MOUNTED,YES,AUTHORIZED / COMPLETION UNVERIFIED,PENDING,,FOUNDER_APPROVED_CONTROLLED_ADOPTION_AUTHORIZED_LOCK_PENDING,LIFECYCLE_EVIDENCE_ONLY,UE-01 EXACT SOURCE ABSENT; UE-03 ADOPTION EVIDENCE ABSENT,"Locate source, approval directive, adoption record and checksum.",FALSE,FALSE,FALSE,FALSE,
C0-028,L3,"Master Claims, Disputes, and Authority Model",MASTER_CLAIMS_DISPUTES_AND_AUTHORITY_MODEL_V2_0,V2.0,Newest-version rule and exact workspace source,/mnt/data/MASTER_CLAIMS_DISPUTES_AND_AUTHORITY_MODEL_V2_0.md,,UNRESOLVED,a4787fb641dca1d28d98f10240957d0b09ea8ee1cee8358f64e80dd658b8b626,EXACT_WORKSPACE_SOURCE,YES,UNRESOLVED,UNRESOLVED,,FOUNDER_ACCEPTED_CONTROLLED_ADOPTION_AND_LOCK_PENDING,VERIFIED_WORKSPACE_SOURCE,UE-02 REPOSITORY LIFECYCLE EVIDENCE ABSENT,Verify repository path and adoption/lock evidence.,FALSE,FALSE,FALSE,FALSE,
C0-029,L3,"Master Communication, Notification, and Notice Model",MASTER_COMMUNICATION_NOTIFICATION_AND_NOTICE_MODEL_V2_0,V2.0,Founder approval recorded; exact source in File Library,,MASTER_COMMUNICATION_NOTIFICATION_AND_NOTICE_MODEL_V2_0,UNRESOLVED,,FILE_LIBRARY_SOURCE_LOCATED,YES,UNRESOLVED,UNRESOLVED,,FOUNDER_APPROVED_CONTROLLED_ADOPTION_PENDING,LOCATED_FILE_LIBRARY_SOURCE,UE-03 CHECKSUM AND REPOSITORY PATH ABSENT,"Mount source bytes, compute checksum and verify lifecycle evidence.",FALSE,FALSE,FALSE,FALSE,
C0-030,L3,Master Security Incident Response and Disclosure Model,MASTER_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_MODEL_V1_0,V1.0 EXCEPTION,Express founder-directed security package exception,/mnt/data/c0_source_reconciliation/extracted/security_foundational_models_v1_0_founder_review_package/docs/canon/candidates/MASTER_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_MODEL_V1_0.md,,UNRESOLVED,3dafa7991acc40eb321cdfeae5b9caa59dbf0a41f5184bee36ec9defb0b59734,EXACT_CHECKSUM_PACKAGE_SOURCE,YES,NOT ESTABLISHED,NOT ESTABLISHED,V1.0 exception controls; higher-numbered references do not supersede by number alone,FOUNDER_ACCEPTED_EXCEPTION_CONTROLLED_ADOPTION_LOCK_PENDING,VERIFIED_EXCEPTION_PACKAGE_SOURCE,UE-02 REPOSITORY LIFECYCLE EVIDENCE ABSENT,Verify repository placement of exact package bytes and exception directive.,FALSE,FALSE,FALSE,FALSE,
C0-031,L3,"Master Platform Resilience, Backup, and Recovery Operational Model",MASTER_PLATFORM_RESILIENCE_BACKUP_AND_RECOVERY_OPERATIONAL_MODEL_V1_0,V1.0 EXCEPTION,Express founder-directed security package exception,/mnt/data/c0_source_reconciliation/extracted/security_foundational_models_v1_0_founder_review_package/docs/canon/candidates/MASTER_PLATFORM_RESILIENCE_BACKUP_AND_RECOVERY_OPERATIONAL_MODEL_V1_0.md,,UNRESOLVED,9a75d2d0984c929afd6df3d51f3f6135c57443ea34a0205395325f1413095565,EXACT_CHECKSUM_PACKAGE_SOURCE,YES,NOT ESTABLISHED,NOT ESTABLISHED,V1.0 Operational Model exception controls; higher-numbered references do not supersede by number alone,FOUNDER_ACCEPTED_EXCEPTION_CONTROLLED_ADOPTION_LOCK_PENDING,VERIFIED_EXCEPTION_PACKAGE_SOURCE,UE-02 REPOSITORY LIFECYCLE EVIDENCE ABSENT,Verify repository placement and normalize family references to exact exception title.,FALSE,FALSE,FALSE,FALSE,
C0-032,L4,"Master Media, Files, and Digital Asset Governance Model",MASTER_MEDIA_FILES_AND_DIGITAL_ASSET_GOVERNANCE_MODEL_V2_1,V2.1,Newest-version rule and media/vocabulary reconciliation,/mnt/data/c0_source_reconciliation/extracted/EquineSync_Media_V2_1_and_Vocabulary_V1_1_Reconciliation_Package/MASTER_MEDIA_FILES_AND_DIGITAL_ASSET_GOVERNANCE_MODEL_V2_1.md,,UNRESOLVED,443ee842c3ba675980353784763dfe76c6c8231532cac24dc8badca315706402,EXACT_PACKAGE_SOURCE,YES,NOT ADOPTED,NOT LOCKED,Supersedes V2.0 and V1.3 substantively,FOUNDER_ACCEPTED_CONTROLLED_ADOPTION_AND_LOCK_PENDING,VERIFIED_PACKAGE_SOURCE,UE-02 REPOSITORY LIFECYCLE EVIDENCE ABSENT,Verify repository path; normalize companion Matrix 05 parent reference from V2.0 to V2.1.,FALSE,FALSE,FALSE,FALSE,
C0-033,L4,"Master Search, Discovery, Ranking, and Retrieval Model",MASTER_SEARCH_DISCOVERY_RANKING_AND_RETRIEVAL_MODEL_V2_0,V2.0,Founder decisions and newest-version rule,,Search founder decisions and vocabulary/cross-reference entries,UNRESOLVED,,EXACT_SOURCE_NOT_LOCATED,YES / FOUNDER DECISIONS RECORDED,UNRESOLVED,UNRESOLVED,,FOUNDER_ACCEPTED_SOURCE_UNVERIFIED,FAMILY_REFERENCE_AND_FOUNDER_DECISIONS,UE-01 EXACT SOURCE ABSENT,"Locate exact V2.0 source, acceptance evidence, adoption/lock records and checksum.",FALSE,FALSE,FALSE,FALSE,
C0-034,L4,Master AI Governance and Decision Boundary Model,MASTER_AI_GOVERNANCE_AND_DECISION_BOUNDARY_MODEL_V2_0,V2.0,Newest-version rule; exact source located in File Library,,MASTER_AI_GOVERNANCE_AND_DECISION_BOUNDARY_MODEL_V2_0.docx,UNRESOLVED,,FILE_LIBRARY_SOURCE_LOCATED,YES,NOT ESTABLISHED,NOT ESTABLISHED,,FOUNDER_ACCEPTED_CONTROLLED_ADOPTION_AND_LOCK_PENDING,LOCATED_FILE_LIBRARY_SOURCE,UE-03 CHECKSUM AND REPOSITORY PATH ABSENT,Mount exact bytes; compute checksum; verify lifecycle evidence.,FALSE,FALSE,FALSE,FALSE,
C0-035,L4,"Master Reporting, Analytics, and Business Intelligence Model",MASTER_REPORTING_ANALYTICS_AND_BUSINESS_INTELLIGENCE_MODEL_V2_0,V2.0,Founder approved and exact source located in File Library,,MASTER_REPORTING_ANALYTICS_AND_BUSINESS_INTELLIGENCE_MODEL_V2_0.md/docx,UNRESOLVED,,FILE_LIBRARY_SOURCE_LOCATED,YES,UNRESOLVED,UNRESOLVED,,FOUNDER_APPROVED_CONTROLLED_ADOPTION_PENDING,LOCATED_FILE_LIBRARY_SOURCE,UE-03 CHECKSUM AND REPOSITORY PATH ABSENT,Mount exact bytes; compute checksum; verify adoption and lock evidence.,FALSE,FALSE,FALSE,FALSE,
